zone_id,latitude,longitude,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,dew_point_2m_min,dew_point_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration
A03,10.059999999999999,105.58,2026-04-20,33.4,23.5,28.5,81,50,19.5,23.4,0.2,0.1,13.6,22.81,5.48
A03,10.059999999999999,105.58,2026-04-21,33.3,23.0,28.1,89,46,19.6,21.8,0.0,0.0,16.5,23.15,5.64
A03,10.059999999999999,105.58,2026-04-22,32.7,23.4,28.3,90,52,20.2,22.5,0.0,0.0,12.3,22.83,5.42
A03,10.059999999999999,105.58,2026-04-23,33.7,23.5,28.3,95,46,19.6,23.3,0.0,0.0,15.6,24.08,5.69
A03,10.059999999999999,105.58,2026-04-24,34.0,24.0,28.5,94,42,19.3,23.9,0.0,0.0,13.0,24.97,5.8
A03,10.059999999999999,105.58,2026-04-25,33.5,25.0,28.7,93,54,21.2,24.6,1.0,0.7,14.3,23.23,5.25
A03,10.059999999999999,105.58,2026-04-26,34.8,25.6,29.6,96,43,20.0,24.9,0.2,0.2,14.6,24.08,5.76
A03,10.059999999999999,105.58,2026-04-27,34.5,25.7,29.9,96,44,20.5,25.3,0.2,0.2,13.9,24.54,5.94
A03,10.059999999999999,105.58,2026-04-28,35.5,24.9,29.9,98,40,19.7,25.4,0.0,0.0,15.4,24.87,6.14
A03,10.059999999999999,105.58,2026-04-29,34.5,25.5,29.9,92,42,19.6,25.4,0.0,0.0,10.2,25.46,5.84
A03,10.059999999999999,105.58,2026-04-30,35.1,25.5,30.0,95,45,20.6,25.2,0.0,0.0,14.9,24.48,6.02
A03,10.059999999999999,105.58,2026-05-01,35.2,26.2,30.4,87,39,19.1,25.0,0.0,0.0,17.2,24.27,6.24
A03,10.059999999999999,105.58,2026-05-02,34.3,25.5,29.4,97,51,22.5,25.0,4.8,0.9,15.9,22.36,5.15
A03,10.059999999999999,105.58,2026-05-03,33.3,26.0,28.8,97,59,23.5,25.5,5.2,0.4,15.2,20.18,4.44
