zone_id,latitude,longitude,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,dew_point_2m_min,dew_point_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration
A01,10.469999999999999,105.03999999999999,2026-04-20,33.2,23.6,28.1,91,49,20.5,24.9,0.6,0.3,11.8,21.9,4.85
A01,10.469999999999999,105.03999999999999,2026-04-21,33.1,23.6,28.6,82,46,19.9,21.2,0.2,0.2,12.8,23.37,5.6
A01,10.469999999999999,105.03999999999999,2026-04-22,34.2,23.4,28.6,91,39,18.4,22.1,0.0,0.0,11.1,24.04,5.62
A01,10.469999999999999,105.03999999999999,2026-04-23,33.7,23.1,28.5,96,45,19.9,23.1,0.0,0.0,13.4,25.16,5.76
A01,10.469999999999999,105.03999999999999,2026-04-24,33.5,22.8,28.2,94,42,18.6,23.9,0.0,0.0,8.9,25.97,5.63
A01,10.469999999999999,105.03999999999999,2026-04-25,33.5,24.6,28.4,96,52,21.8,24.5,0.3,0.2,17.7,22.04,4.91
A01,10.469999999999999,105.03999999999999,2026-04-26,33.7,25.1,29.2,93,46,20.3,24.6,0.0,0.0,12.5,24.31,5.49
A01,10.469999999999999,105.03999999999999,2026-04-27,34.8,25.4,29.8,97,41,19.8,25.0,0.1,0.0,11.6,24.71,5.78
A01,10.469999999999999,105.03999999999999,2026-04-28,34.5,24.0,29.2,97,47,21.1,25.2,1.5,0.0,11.9,24.44,5.58
A01,10.469999999999999,105.03999999999999,2026-04-29,34.3,25.2,29.4,93,44,19.6,24.9,0.0,0.0,7.5,25.46,5.58
A01,10.469999999999999,105.03999999999999,2026-04-30,34.0,25.5,29.8,89,52,21.0,25.3,0.2,0.1,12.3,24.41,5.68
A01,10.469999999999999,105.03999999999999,2026-05-01,35.0,25.5,30.0,92,41,19.5,24.9,0.0,0.0,15.1,24.33,6.09
A01,10.469999999999999,105.03999999999999,2026-05-02,33.3,24.5,28.8,97,50,21.4,24.9,5.7,1.1,13.0,23.68,5.23
A01,10.469999999999999,105.03999999999999,2026-05-03,32.6,24.6,27.5,99,60,23.2,25.6,4.4,0.4,9.4,16.72,3.55
